Client_ID,Gender,Age,Frequecy,Monthly Income(1-100 K)
205168,MALE,40,35,29
205383,MALE,32,37,27
205427,MALE,35,34,33
205429,MALE,41,39,29
205430,MALE,28,29,25
206332,MALE,34,24,28
207104,MALE,38,36,31
207114,MALE,26,24,19
207262,MALE,27,12,20
207269,MALE,26,23,20
207424,MALE,30,25,26
207431,MALE,43,33,38
207890,MALE,28,28,22
208005,MALE,41,34,38
208241,MALE,18,4,2
209066,MALE,45,21,38
209393,MALE,41,33,34
209564,MALE,27,11,18
210217,MALE,49,29,31
210228,MALE,47,25,27
210251,MALE,43,32,34
210685,MALE,26,21,18
210687,MALE,19,4,2
211769,MALE,24,18,16
212225,MALE,26,20,19
212229,MALE,38,35,29
212256,MALE,38,34,35
212279,MALE,25,20,15
212282,MALE,38,33,29
212290,MALE,47,24,38
212350,MALE,56,13,57
212356,MALE,59,9,47
212366,MALE,32,33,31
212514,MALE,44,28,31
213393,MALE,54,21,57
213394,MALE,58,10,60
213485,MALE,31,27,28
213620,MALE,20,8,5
214540,MALE,35,33,37
215157,MALE,55,21,45
215275,MALE,50,27,38
215282,MALE,26,19,20
215285,MALE,30,24,29
215587,MALE,59,8,48
215889,MALE,54,20,38
216552,MALE,30,23,31
216569,MALE,25,19,18
217398,MALE,31,26,32
219033,MALE,53,12,58
219320,MALE,31,25,35
219333,MALE,28,27,27
219612,MALE,51,19,42
219628,MALE,48,25,42
219632,MALE,46,25,27
219663,MALE,48,24,29
220971,MALE,44,27,38
220985,MALE,33,29,30
222454,MALE,41,32,42
222540,MALE,35,32,27
222547,MALE,24,17,17
222550,MALE,46,24,38
222725,MALE,45,20,38
222843,MALE,32,32,28
223021,MALE,41,31,46
223204,MALE,30,22,28
223208,MALE,54,19,45
223568,MALE,31,24,27
224157,MALE,26,18,18
224159,MALE,24,16,15
224160,MALE,23,10,15
224344,MALE,25,18,19
224358,MALE,49,28,38
224628,MALE,32,31,25
226061,MALE,55,20,59
226239,MALE,49,27,38
226248,MALE,48,23,35
226258,MALE,54,18,39
226261,MALE,28,26,28
226262,MALE,35,31,38
226641,MALE,29,26,30
226751,MALE,38,32,37
226827,MALE,26,17,18
226911,MALE,26,16,17
226991,MALE,40,33,29
227037,MALE,33,28,29
227039,MALE,54,17,48
227066,MALE,49,26,39
227067,MALE,54,16,50
227323,MALE,69,2,35
227461,MALE,39,28,27
227464,MALE,52,21,49
227815,MALE,30,21,25
228022,MALE,46,23,34
228810,MALE,37,23,35
228899,MALE,42,24,32
228979,MALE,34,23,32
229160,MALE,47,23,34
229176,MALE,56,12,38
229187,MALE,39,27,29
229193,MALE,41,30,42
229262,MALE,26,15,15
229263,MALE,35,30,34
229287,MALE,47,22,42
229553,MALE,40,32,31
229784,MALE,50,26,39
229791,MALE,60,8,45
229798,MALE,41,29,29
229807,MALE,26,14,18
229840,MALE,62,4,25
229952,MALE,42,23,35
230051,MALE,56,11,45
230246,MALE,55,19,62
230498,MALE,50,25,39
230762,MALE,21,10,9
230763,MALE,32,30,27
230764,MALE,39,26,32
230794,MALE,38,31,33
230811,MALE,44,26,29
230831,MALE,40,31,27
230837,MALE,49,25,39
230840,MALE,31,23,37
230844,MALE,48,22,29
230851,MALE,54,15,52
230875,MALE,32,29,27
230882,MALE,25,17,20
230886,MALE,25,16,18
230924,MALE,54,14,57
230953,MALE,28,25,30
231106,MALE,55,18,60
231264,MALE,24,15,18
231266,MALE,50,24,41
231277,MALE,48,21,31
231304,MALE,45,19,29
231491,MALE,35,29,42
231998,MALE,35,28,46
232781,MALE,39,25,35
232804,MALE,21,9,8
232808,MALE,42,22,37
232810,MALE,40,30,29
232835,MALE,47,21,46
232997,MALE,30,20,22
233022,MALE,48,20,27
233178,MALE,61,6,60
233772,MALE,48,19,29
233919,MALE,25,15,18
233922,MALE,31,22,33
233924,MALE,40,29,35
233935,MALE,52,20,38
233936,MALE,67,1,52
233940,MALE,41,28,35
233943,MALE,27,10,18
233948,MALE,25,14,19
233949,MALE,14,1,1
233991,MALE,47,20,42
233994,MALE,19,3,3
233996,MALE,24,14,19
233999,MALE,46,22,42
234003,MALE,54,13,45
234081,MALE,43,31,42
234083,MALE,24,13,20
234558,MALE,33,27,26
234571,MALE,20,7,7
234572,MALE,39,24,37
235105,MALE,35,27,42
235109,MALE,27,9,19
235112,MALE,32,28,28
235114,MALE,39,23,31
235129,MALE,43,30,46
235173,MALE,32,27,30
235226,MALE,21,8,10
235305,MALE,43,29,42
235725,MALE,28,24,29
236058,MALE,33,26,29
236061,MALE,41,27,29
236077,MALE,31,21,29
236081,MALE,33,25,31
236084,MALE,59,7,45
236110,MALE,44,25,35
236111,MALE,56,10,39
236114,MALE,41,26,31
236117,MALE,47,19,29
236122,MALE,33,24,28
236135,MALE,55,17,58
236155,MALE,35,26,29
236190,MALE,53,11,56
237278,MALE,69,1,31
